Wavelength	Excitation	Emission
527.5	0.339	0.001
528	0.343	0.001
528.5	0.348	0.002
529	0.353	0.002
529.5	0.359	0.002
530	0.365	0.002
530.5	0.371	0.002
531	0.379	0.003
531.5	0.386	0.003
532	0.394	0.003
532.5	0.403	0.004
533	0.413	0.004
533.5	0.423	0.004
534	0.434	0.005
534.5	0.445	0.005
535	0.457	0.006
535.5	0.47	0.007
536	0.483	0.008
536.5	0.496	0.008
537	0.51	0.01
537.5	0.525	0.01
538	0.54	0.012
538.5	0.556	0.013
539	0.572	0.015
539.5	0.589	0.016
540	0.606	0.018
540.5	0.623	0.02
541	0.642	0.022
541.5	0.66	0.024
542	0.678	0.027
542.5	0.697	0.03
543	0.715	0.034
543.5	0.734	0.037
544	0.753	0.041
544.5	0.772	0.046
545	0.79	0.051
545.5	0.809	0.056
546	0.827	0.062
546.5	0.845	0.068
547	0.862	0.074
547.5	0.879	0.083
548	0.895	0.091
548.5	0.91	0.099
549	0.925	0.109
549.5	0.938	0.118
550	0.95	0.13
550.5	0.961	0.141
551	0.971	0.155
551.5	0.979	0.168
552	0.986	0.183
552.5	0.991	0.199
553	0.994	0.214
553.5	0.996	0.233
554	0.996	0.251
554.5	0.995	0.27
555	0.991	0.286
555.5	0.986	0.306
556	0.979	0.328
556.5	0.97	0.349
557	0.96	0.372
557.5	0.948	0.393
558	0.934	0.418
558.5	0.918	0.441
559	0.901	0.466
559.5	0.883	0.49
560	0.863	0.512
560.5	0.842	0.538
561	0.82	0.563
561.5	0.797	0.591
562	0.773	0.613
562.5	0.748	0.64
563	0.723	0.664
563.5	0.698	0.685
564	0.672	0.709
564.5	0.646	0.734
565	0.62	0.758
565.5	0.595	0.78
566	0.569	0.801
566.5	0.544	0.822
567	0.519	0.843
567.5	0.494	0.86
568	0.47	0.877
568.5	0.446	0.893
569	0.423	0.907
569.5	0.401	0.923
570	0.379	0.938
570.5	0.358	0.95
571	0.337	0.958
571.5	0.318	0.966
572	0.299	0.972
572.5	0.281	0.98
573	0.264	0.991
573.5	0.247	0.992
574	0.231	0.994
574.5	0.217	0.998
575	0.203	0.999
575.5	0.19	1
576	0.178	0.999
576.5	0.166	0.996
577	0.155	0.99
577.5	0.144	0.988
578	0.134	0.986
578.5	0.126	0.98
579	0.117	0.972
579.5	0.11	0.966
580	0.102	0.956
580.5	0.095	0.947
581	0.089	0.936
581.5	0.083	0.93
582	0.077	0.921
582.5	0.072	0.909
583	0.067	0.894
583.5	0.062	0.882
584	0.058	0.87
584.5	0.054	0.86
585	0.05	0.85
585.5	0.046	0.838
586	0.043	0.827
586.5	0.04	0.811
587	0.037	0.797
587.5	0.034	0.781
588	0.031	0.768
588.5	0.029	0.754
589	0.027	0.743
589.5	0.024	0.724
590	0.023	0.711
590.5	0.022	0.698
591	0.02	0.69
591.5	0.019	0.675
592	0.018	0.665
592.5	0.016	0.651
593	0.015	0.641
593.5	0.014	0.622
594	0.013	0.609
594.5	0.012	0.597
595	0.011	0.589
595.5	0.01	0.575
596	0.01	0.565
596.5	0.009	0.553
597	0.008	0.546
597.5	0.007	0.531
598	0.007	0.523
598.5	0.007	0.512
599	0.006	0.504
599.5	0.006	0.491
600	0.005	0.481
600.5	0.005	0.472
601	0.005	0.466
601.5	0.005	0.455
602	0.004	0.45
602.5	0.004	0.44
603	0.004	0.431
603.5	0.004	0.426
604	0.004	0.418
604.5	0.003	0.41
605	0.003	0.404
605.5	0.003	0.4
606	0.003	0.393
606.5	0.003	0.386
607	0.003	0.381
607.5	0.002	0.375
608	0.002	0.371
608.5	0.002	0.365
609	0.002	0.359
609.5	0.002	0.356
610	0.002	0.353
610.5	0.002	0.349
611	0.002	0.344
611.5	0.002	0.341
612	0.002	0.337
612.5	0.002	0.333
613	0.002	0.329
613.5	0.002	0.327
614	0.002	0.325
614.5	0.002	0.321
615	0.002	0.317
615.5	0.002	0.315
616	0.002	0.311
616.5	0.001	0.312
617	0.001	0.31
617.5	0.001	0.307
618	0.001	0.304
618.5	0.002	0.301
619	0.002	0.299
619.5	0.001	0.296
620	0.002	0.293
620.5	0.002	0.291
621	0.002	0.29
621.5	0.002	0.288
622	0.001	0.284
622.5	0.002	0.283
623	0.002	0.281
623.5	0.001	0.278
624	0.002	0.275
624.5	0.002	0.272
625	0.002	0.271
625.5	0.002	0.269
626	0.002	0.266
626.5	0.002	0.262
627	0.002	0.26
627.5	0.002	0.257
628	0.002	0.254
628.5	0.002	0.252
629	0.002	0.248
629.5	0.002	0.247
630	0.002	0.243
630.5	0.001	0.24
631	0.001	0.238
631.5	0.001	0.234
632	0.001	0.232
632.5	0.001	0.228
633	0	0.227
633.5	0.001	0.224
634	0.001	0.22
634.5	0.001	0.216
635	0.001	0.213
635.5	0.001	0.212
636	0.001	0.209
636.5	0.001	0.205
637	0.001	0.202
637.5	0.001	0.197
638	0.001	0.193
638.5	0.001	0.192
639	0.001	0.189
639.5	0.001	0.186
640	0.001	0.181
640.5	0.001	0.179
641	0.001	0.177
641.5	0.001	0.173
642	0	0.17
642.5	0	0.167
643	0	0.164
643.5	0	0.16
644	0	0.158
644.5	0	0.155
645	0	0.154
645.5	0	0.151
646	0	0.148
646.5	0	0.146
647	0	0.142
647.5	0	0.139
648	0	0.136
648.5	0	0.135
649	0	0.132
649.5	0	0.129
650	0	0.127
650.5	0	0.124
651	0	0.121
651.5	0	0.12
652	0	0.117
652.5	0	0.113
653	0	0.112
653.5	0	0.11
654	0	0.109
654.5	0	0.107
655	0	0.105
655.5	0	0.102
656	0	0.101
656.5	0	0.098
657	0	0.096
657.5	0	0.094
658	0	0.092
658.5	0	0.091
659	0	0.089
659.5	0	0.087
660	0	0.086
660.5	0	0.084
661	0	0.082
661.5	0	0.081
662	0	0.079
662.5	0	0.078
663	0	0.077
663.5	0	0.076
664	0	0.074
664.5	0	0.073
665	0	0.071
665.5	0	0.07
666	0	0.068
666.5	0	0.068
667	0	0.066
667.5	0	0.065
668	0	0.065
668.5	0	0.064
669	0	0.062
669.5	0	0.061
670	0	0.059
670.5	0	0.059
671	0	0.058
671.5	0	0.058
672	0	0.056
672.5	0	0.055
673	0	0.055
673.5	0	0.055
674	0	0.053
674.5	0	0.053
675	0	0.052
675.5	0	0.051
676	0	0.05
676.5	0	0.05
677	0	0.049
677.5	0	0.048
678	0	0.047
678.5	0	0.047
679	0	0.046
679.5	0	0.046
680	0	0.046
680.5	0	0.044
681	0	0.044
681.5	0	0.043
682	0	0.043
682.5	0	0.042
683	0	0.042
683.5	0	0.041
684	0	0.041
684.5	0	0.04
685	0	0.039
685.5	0	0.039
686	0	0.039
686.5	0	0.038
687	0	0.038
687.5	0	0.037
688	0	0.037
688.5	0	0.036
689	0	0.036
689.5	0	0.036
690	0	0.035
690.5	0	0.034
691	0	0.034
691.5	0	0.033
692	0	0.033
692.5	0	0.032
693	0	0.032
693.5	0	0.031
694	0	0.031
694.5	0	0.031
695	0	0.03
695.5	0	0.03
696	0	0.03
696.5	0	0.029
697	0	0.029
697.5	0	0.028
698	0	0.029
698.5	0	0.027
699	0	0.027
699.5	0	0.027
700	0	0.027
700.5	0	0.026
701	0	0.026
701.5	0	0.025
702	0	0.025
702.5	0	0.025
703	0	0.024
703.5	0	0.024
704	0	0.024
704.5	0	0.023
705	0	0.023
705.5	0	0.022
706	0	0.022
706.5	0	0.022
707	0	0.021
707.5	0	0.021
708	0	0.021
708.5	0	0.02
709	0	0.02
709.5	0	0.02
710	0	0.02
710.5	0	0.02
711	0	0.019
711.5	0	0.019
712	0	0.018
712.5	0	0.018
713	0	0.017
713.5	0	0.017
714	0	0.017
714.5	0	0.017
715	0	0.017
715.5	0	0.016
716	0	0.016
716.5	0	0.016
717	0	0.015
717.5	0	0.015
718	0	0.015
718.5	0	0.014
719	0	0.015
719.5	0	0.014
720	0	0.014
720.5	0	0.014
721	0	0.014
721.5	0	0.013
722	0	0.013
722.5	0	0.013
723	0	0.013
723.5	0	0.012
724	0	0.012
724.5	0	0.012
725	0	0.011
725.5	0	0.012
726	0	0.012
726.5	0	0.011
727	0	0.011
727.5	0	0.011
728	0	0.011
728.5	0	0.011
729	0	0.01
729.5	0	0.01
730	0	0.01
730.5	0	0.01
731	0	0.01
731.5	0	0.01
732	0	0.009
732.5	0	0.009
733	0	0.009
733.5	0	0.009
734	0	0.009
734.5	0	0.008
735	0	0.009
735.5	0	0.009
736	0	0.008
736.5	0	0.008
737	0	0.008
737.5	0	0.008
738	0	0.008
738.5	0	0.008
